CUMULATIVE_NET_PNL,CUMULATIVE_NET_POSITIVE_CYCLES,DAILY_NET_PNL,DAILY_NET_POSITIVE_CYCLES,DAILY_ORDINARY_CYCLES,ENVELOPE,FULLY_FILLED_CYCLES,LOGICAL_DAY,MARK_EVIDENCE,MAX_HOLD_HOURS,MOTOR_UPTIME,NET_POSITIVE_CYCLES,OPEN_HOLD_US,OPEN_POSITION,OPERATING_BANK,OPERATING_FINAL,OPERATING_START,RESERVE,RESERVE_FINAL,RESERVE_START,RUN_STATUS,SOURCE_DATE,TOTAL_EQUITY_FINAL,VERDICT
0.0990000000000000,12,0.0990000000000000,12,12,PRICE_PRIORITY,12,1,LAST_AVAILABLE_OBSERVED_BID,2.0000132963888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888889,0.96404208887731481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481,12,,False,100.1069200000000000,100.1069200000000000,100,9.9920800000000000,9.9920800000000000,10,PENDING,2025-01-01,110.0990000000000000,PENDING
-0.0693000000000000,12,-0.1683000000000000,0,0,PRICE_PRIORITY,0,2,LAST_AVAILABLE_OBSERVED_BID,23.997125118333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,0.083293532604166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,0,86389650426,True,100.1069200000000000,99.9386200000000000,100.1069200000000000,9.9920800000000000,9.9920800000000000,9.9920800000000000,PENDING,2025-02-01,109.9307000000000000,PENDING
-0.0594000000000000,12,0.0099000000000000,0,0,PRICE_PRIORITY,0,3,LAST_AVAILABLE_OBSERVED_BID,47.997125118333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,0,0,172789650426,True,100.1069200000000000,99.9485200000000000,99.9386200000000000,9.9920800000000000,9.9920800000000000,9.9920800000000000,PENDING,2025-03-01,109.9406000000000000,PENDING
-0.0990000000000000,12,-0.0396000000000000,0,0,PRICE_PRIORITY,0,4,LAST_AVAILABLE_OBSERVED_BID,71.997125118333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,0,0,259189650426,True,100.1069200000000000,99.9089200000000000,99.9485200000000000,9.9920800000000000,9.9920800000000000,9.9920800000000000,PENDING,2025-04-01,109.9010000000000000,PENDING
-0.1485000000000000,12,-0.0495000000000000,0,0,PRICE_PRIORITY,0,5,LAST_AVAILABLE_OBSERVED_BID,95.997125118333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,0,0,345589650426,True,100.1069200000000000,99.8594200000000000,99.9089200000000000,9.9920800000000000,9.9920800000000000,9.9920800000000000,PENDING,2025-06-01,109.8515000000000000,PENDING
-0.0594000000000000,12,0.0891000000000000,0,0,PRICE_PRIORITY,0,6,LAST_AVAILABLE_OBSERVED_BID,119.99712511833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,0,0,431989650426,True,100.1069200000000000,99.9485200000000000,99.8594200000000000,9.9920800000000000,9.9920800000000000,9.9920800000000000,PENDING,2025-08-01,109.9406000000000000,PENDING
0E-16,12,0.0594000000000000,0,0,PRICE_PRIORITY,0,7,LAST_AVAILABLE_OBSERVED_BID,119.99783075416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,0.61457689589120370370370370370370370370370370370370370370370370370370370370370370370370370370370370370370370370370370370370370370,0,,False,100.1069200000000000,100.1069200000000000,99.9485200000000000,9.8930800000000000,9.8930800000000000,9.9920800000000000,PENDING,2026-01-01,110.0000000000000000,PENDING
-0.0100000000000000,12,-0.0100000000000000,0,0,PRICE_PRIORITY,0,8,LAST_AVAILABLE_OBSERVED_BID,119.99783075416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,0.17562811177083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,0,3138835716,True,100.1069200000000000,100.0969200000000000,100.1069200000000000,9.8930800000000000,9.8930800000000000,9.8930800000000000,PENDING,2026-02-01,109.9900000000000000,PENDING
-0.1000000000000000,12,-0.0900000000000000,0,0,PRICE_PRIORITY,0,9,LAST_AVAILABLE_OBSERVED_BID,119.99783075416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,0.64408391928240740740740740740740740740740740740740740740740740740740740740740740740740740740740740740740740740740740740740740741,0,1291667796,True,100.1069200000000000,100.1069200000000000,100.0969200000000000,9.7930800000000000,9.7930800000000000,9.8930800000000000,PENDING,2026-03-01,109.9000000000000000,PENDING
-0.1000000000000000,13,0E-16,1,1,PRICE_PRIORITY,1,10,LAST_AVAILABLE_OBSERVED_BID,119.99783075416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,0.96242527203703703703703703703703703703703703703703703703703703703703703703703703703703703703703703703703703703703703703703703704,1,,False,100.1159200000000000,100.1159200000000000,100.1069200000000000,9.7840800000000000,9.7840800000000000,9.7930800000000000,PENDING,2026-04-01,109.9000000000000000,PENDING
