MODE,SCENARIO,FEE_BPS_PER_LEG,TYPE,TIME_US,PAIR_ID,SYMBOL,CAPITAL,CYCLES,OLD_HOTLINE,NEW_HOTLINE,REASON,AFFECTED_C2_ORDER_IDS
PARALLEL_TWO_PAIR,F5,5,HOTLINE_CHANGE,1769907600139310,PAIR_A,USDCUSDT,,,,1.0008,INITIAL_BOOK,[]
PARALLEL_TWO_PAIR,F5,5,HOTLINE_CHANGE,1769909368939281,PAIR_A,USDCUSDT,,,1.0008,1.0009,MIDPOINT_TICK_CHANGE,[]
PARALLEL_TWO_PAIR,F5,5,HOTLINE_CHANGE,1769910730239057,PAIR_A,USDCUSDT,,,1.0009,1.0010,MIDPOINT_TICK_CHANGE,[]
PARALLEL_TWO_PAIR,F5,5,HOTLINE_CHANGE,1769910731239319,PAIR_A,USDCUSDT,,,1.0010,1.0009,MIDPOINT_TICK_CHANGE,[]
PARALLEL_TWO_PAIR,F5,5,HOTLINE_CHANGE,1769910732239174,PAIR_A,USDCUSDT,,,1.0009,1.0010,MIDPOINT_TICK_CHANGE,[]
PARALLEL_TWO_PAIR,F5,5,HOTLINE_CHANGE,1769910993839221,PAIR_A,USDCUSDT,,,1.0010,1.0009,MIDPOINT_TICK_CHANGE,[]
PARALLEL_TWO_PAIR,F5,5,CHECKPOINT,1769907600000000,PAIR_A,,0,0,,,,
PARALLEL_TWO_PAIR,F5,5,CHECKPOINT,1769909400000000,PAIR_A,,0,0,,,,
PARALLEL_TWO_PAIR,F5,5,CHECKPOINT,1769911200000000,PAIR_A,,0,0,,,,
PARALLEL_TWO_PAIR,F5,5,CHECKPOINT,1769913000000000,PAIR_A,,0,0,,,,
PARALLEL_TWO_PAIR,F5,5,CHECKPOINT,1769914800000000,PAIR_A,,0,0,,,,
PARALLEL_TWO_PAIR,F5,5,CHECKPOINT,1769916600000000,PAIR_A,,0,0,,,,
PARALLEL_TWO_PAIR,F5,5,CHECKPOINT,1769918400000000,PAIR_A,,0,0,,,,
PARALLEL_TWO_PAIR,F10,10,HOTLINE_CHANGE,1769907600139310,PAIR_A,USDCUSDT,,,,1.0008,INITIAL_BOOK,[]
PARALLEL_TWO_PAIR,F10,10,HOTLINE_CHANGE,1769909368939281,PAIR_A,USDCUSDT,,,1.0008,1.0009,MIDPOINT_TICK_CHANGE,[]
PARALLEL_TWO_PAIR,F10,10,HOTLINE_CHANGE,1769910730239057,PAIR_A,USDCUSDT,,,1.0009,1.0010,MIDPOINT_TICK_CHANGE,[]
PARALLEL_TWO_PAIR,F10,10,HOTLINE_CHANGE,1769910731239319,PAIR_A,USDCUSDT,,,1.0010,1.0009,MIDPOINT_TICK_CHANGE,[]
PARALLEL_TWO_PAIR,F10,10,HOTLINE_CHANGE,1769910732239174,PAIR_A,USDCUSDT,,,1.0009,1.0010,MIDPOINT_TICK_CHANGE,[]
PARALLEL_TWO_PAIR,F10,10,HOTLINE_CHANGE,1769910993839221,PAIR_A,USDCUSDT,,,1.0010,1.0009,MIDPOINT_TICK_CHANGE,[]
PARALLEL_TWO_PAIR,F10,10,CHECKPOINT,1769907600000000,PAIR_A,,0,0,,,,
PARALLEL_TWO_PAIR,F10,10,CHECKPOINT,1769909400000000,PAIR_A,,0,0,,,,
PARALLEL_TWO_PAIR,F10,10,CHECKPOINT,1769911200000000,PAIR_A,,0,0,,,,
PARALLEL_TWO_PAIR,F10,10,CHECKPOINT,1769913000000000,PAIR_A,,0,0,,,,
PARALLEL_TWO_PAIR,F10,10,CHECKPOINT,1769914800000000,PAIR_A,,0,0,,,,
PARALLEL_TWO_PAIR,F10,10,CHECKPOINT,1769916600000000,PAIR_A,,0,0,,,,
PARALLEL_TWO_PAIR,F10,10,CHECKPOINT,1769918400000000,PAIR_A,,0,0,,,,
