break_even_fee_per_leg,cycle_p50_seconds,cycle_p90_seconds,cycle_p95_seconds,cycle_p99_seconds,cycles,gross_edge_bps,high,high_trade_count,high_visits,low,low_trade_count,low_visits,max_cycle_seconds,net_edge_scenarios,rank,spread_pct,tick_distance,utc_date,volume_at_high,volume_at_low
0.00005010271055664111428428277970,4.19721100,39.39330580,55.65055740,126.79368064,837,1.002104419280489026956610000,0.998,7488,1244,0.9979,4921,896,1476.866024,"{'ZERO': '0.000100210441928048902695661', 'MAKER_A_0.2BP': '0.000060207233574538850940588', 'MAKER_B_0.5BP': '2.05421134895755462753E-7', 'STRESS_1BP': '-0.0000997896001561282893656721'}",1,0.010021044192804890269566100,1,2026-01-01,9929049.00000000,18403148.00000000
0.00005008263634997746281364251014,4.03883300,36.12205080,55.99178930,180.63126093,698,1.001702894921366322748670000,0.9984,9295,891,0.9983,9005,1283,54388.115502,"{'ZERO': '0.000100170289492136632274867', 'MAKER_A_0.2BP': '0.000060167082744691895704308', 'MAKER_B_0.5BP': '1.65272714026324127047E-7', 'STRESS_1BP': '-0.0000998297445623563457537848'}",2,0.010017028949213663227486700,1,2026-01-01,16952570.00000000,14499328.00000000
0.00005008765339343851740545955422,3.50817350,49.89308600,77.52959650,220.73012200,586,1.001803245842516529753560000,0.9983,9005,1283,0.9982,14931,1062,43133.728752,"{'ZERO': '0.000100180324584251652975356', 'MAKER_A_0.2BP': '0.000060177117435411259717102', 'MAKER_B_0.5BP': '1.75306802682306277393E-7', 'STRESS_1BP': '-0.0000998197114770590662833136'}",3,0.010018032458425165297535600,1,2026-01-01,14499328.00000000,28168662.00000000
0.00005009267144216801082001703151,3.76460900,35.12708580,62.95855800,139.52534400,477,1.001903616872056908125440000,0.9982,14931,1062,0.9981,7382,884,35784.729098,"{'ZERO': '0.000100190361687205690812544', 'MAKER_A_0.2BP': '0.000060187154136889208914549', 'MAKER_B_0.5BP': '1.85342901976231716417E-7', 'STRESS_1BP': '-0.0000998096763813248972668107'}",4,0.010019036168720569081254400,1,2026-01-01,28168662.00000000,14615112.00000000
0.00005009769049646811281999899805,3.34593900,33.47410860,46.63222050,80.19984868,407,1.002004008016032064128260000,0.9981,7382,884,0.998,7488,1244,32478.185504,"{'ZERO': '0.000100200400801603206412826', 'MAKER_A_0.2BP': '0.000060197192849730179745102', 'MAKER_B_0.5BP': '1.95381012512500627474E-7', 'STRESS_1BP': '-0.0000997996392745494989579198'}",5,0.010020040080160320641282600,1,2026-01-01,14615112.00000000,9929049.00000000
0.00005007762031148279833742300566,3.52768950,48.65523570,106.57159325,3725.8909877,194,1.001602564102564102564100000,0.9985,543,194,0.9984,9295,891,8509.444617,"{'ZERO': '0.000100160256410256410256410', 'MAKER_A_0.2BP': '0.000060157050064126922589753', 'MAKER_B_0.5BP': '1.55240635404127229536E-7', 'STRESS_1BP': '-0.0000998397756378208333012853'}",6,0.010016025641025641025641000,1,2026-01-01,1529996.00000000,16952570.00000000
0.00005010773162298942726862754923,3.79425700,18.91484040,40.90153970,79.96744810,59,1.002204850671477249949890000,0.9979,4921,896,0.9978,98,59,93.972218,"{'ZERO': '0.000100220485067147724994989', 'MAKER_A_0.2BP': '0.000060217276311920143637616', 'MAKER_B_0.5BP': '2.15463269730881064686E-7', 'STRESS_1BP': '-0.0000997795590254564441330972'}",7,0.010022048506714772499498900,1,2026-01-01,18403148.00000000,24336.00000000
0.0001001803245842516529753556402,63.65413300,5970.18123970,20554.70584565,38577.58596193,14,2.003807233744113816250880000,0.9983,9005,1283,0.9981,7382,884,43083.305991,"{'ZERO': '0.000200380723374411381625088', 'MAKER_A_0.2BP': '0.000160373508289778097835498', 'MAKER_B_0.5BP': '0.000100365686053939964057804', 'STRESS_1BP': '3.60649237150225464379E-7'}",8,0.020038072337441138162508800,2,2026-01-01,14499328.00000000,14615112.00000000
0.0001001602564102564102564102564,176.95926000,28132.97385480,42985.05396840,54866.71805928,7,2.003405789842732645497350000,0.9985,543,194,0.9983,9005,1283,57837.134082,"{'ZERO': '0.000200340578984273264549735', 'MAKER_A_0.2BP': '0.000160333365505383471415015', 'MAKER_B_0.5BP': '0.000100325545678040148879063', 'STRESS_1BP': '3.20512875087328490431E-7'}",9,0.020034057898427326454973500,2,2026-01-01,1529996.00000000,14499328.00000000
0.0001001702894921366322748672744,211.31366250,31599.28726950,47188.28732125,59659.48736265,6,2.003606491685033059507110000,0.9984,9295,891,0.9982,14931,1062,62777.287373,"{'ZERO': '0.000200360649168503305950711', 'MAKER_A_0.2BP': '0.000160353434886822199440603', 'MAKER_B_0.5BP': '0.000100345613855352113179755', 'STRESS_1BP': '3.40579045681887431373E-7'}",10,0.020036064916850330595071100,2,2026-01-01,16952570.00000000,28168662.00000000
0.00005007260527765259626458364629,2.72435000,31.38653850,54.73237550,202.54706595,1186,1.001502253380070105157740000,0.9986,10930,1984,0.9985,41776,1972,8447.096207,"{'ZERO': '0.000100150225338007010515774', 'MAKER_A_0.2BP': '0.000060147019393112388127801', 'MAKER_B_0.5BP': '1.45210566211799575269E-7', 'STRESS_1BP': '-0.0000998498047040563845468232'}",1,0.010015022533800701051577400,1,2026-01-02,15793255.00000000,43619359.00000000
0.00005001750612714450057520132046,0.70581000,11.21905220,20.43554060,72.76366912,1089,1.000400160064025610244100000,0.9997,14254,1492,0.9996,20585,1763,1548.962501,"{'ZERO': '0.000100040016006402561024410', 'MAKER_A_0.2BP': '0.000060036814469793037112447', 'MAKER_B_0.5BP': '3.5012254989491421787E-8', 'STRESS_1BP': '-0.0000999599919959984793837543'}",2,0.010004001600640256102441000,1,2026-01-02,23832325.00000000,33651143.00000000
0.00005004253615573237251663914327,1.13774800,11.62172360,20.60803590,76.74129730,835,1.000900810729656691021920000,0.9992,12648,1419,0.9991,9287,1618,2433.209459,"{'ZERO': '0.000100090081072965669102192', 'MAKER_A_0.2BP': '0.000060086877533793533918132', 'MAKER_B_0.5BP': '8.5072315296256005937E-8', 'STRESS_1BP': '-0.0000999099369414474827164466'}",3,0.010009008107296566910219200,1,2026-01-02,19436422.00000000,16185236.00000000
0.00005006759124818504981725329194,1.04183000,16.81998980,29.94014580,77.16087398,799,1.001401962747846985780090000,0.9987,10102,1190,0.9986,10930,1984,25619.780795,"{'ZERO': '0.000100140196274784698578009', 'MAKER_A_0.2BP': '0.000060136990731044581992398', 'MAKER_B_0.5BP': '1.35182505845667059727E-7', 'STRESS_1BP': '-0.0000998598317616666132305255'}",4,0.010014019627478469857800900,1,2026-01-02,17440949.00000000,15793255.00000000
0.00005007762031148279833742300566,1.26581700,17.73094520,28.31356270,65.20891644,787,1.001602564102564102564100000,0.9985,41776,1972,0.9984,3851,787,144.758567,"{'ZERO': '0.000100160256410256410256410', 'MAKER_A_0.2BP': '0.000060157050064126922589753', 'MAKER_B_0.5BP': '1.55240635404127229536E-7', 'STRESS_1BP': '-0.0000998397756378208333012853'}",5,0.010016025641025641025641000,1,2026-01-02,43619359.00000000,4092148.00000000
0.00005004754516790951403833641960,0.57411400,7.05746110,12.14279590,31.68879266,784,1.001001001001001001001000000,0.9991,9287,1618,0.999,13650,1072,637.577139,"{'ZERO': '0.000100100100100100100100100', 'MAKER_A_0.2BP': '0.000060096896160174894600206', 'MAKER_B_0.5BP': '9.5090340578066191786E-8', 'STRESS_1BP': '-0.0000998999199179181180981001'}",6,0.010010010010010010010010000,1,2026-01-02,16185236.00000000,17562171.00000000
0.00005005756620113130099614556740,0.91161900,11.75748260,22.67626800,58.74458180,765,1.001201441730076091309570000,0.9989,4214,1053,0.9988,9396,1155,9928.520407,"{'ZERO': '0.000100120144173007609130957', 'MAKER_A_0.2BP': '0.000060116939431335522268329', 'MAKER_B_0.5BP': '1.15132409178499825509E-7', 'STRESS_1BP': '-0.0000998798798534243491950364'}",7,0.010012014417300760913095700,1,2026-01-02,4658154.00000000,15307324.00000000
0.00005002751513332332783030666867,0.44602900,6.09814960,9.49781070,27.66960796,683,1.000600360216129677806680000,0.9995,9061,1357,0.9994,7282,1151,889.155345,"{'ZERO': '0.000100060036021612967780668', 'MAKER_A_0.2BP': '0.000060056833684218851144290', 'MAKER_B_0.5BP': '5.5030268298472208669E-8', 'STRESS_1BP': '-0.0000999399759843907544406656'}",8,0.010006003602161296778066800,1,2026-01-02,20757434.00000000,13250951.00000000
0.00005002251012955830123555600020,0.49574200,5.92625520,11.80220400,47.68884455,674,1.000500250125062531265630000,0.9996,20585,1763,0.9995,9061,1357,1063.939402,"{'ZERO': '0.000100050025012506253126563', 'MAKER_A_0.2BP': '0.000060046823075544492111659', 'MAKER_B_0.5BP': '4.5020260242615683123E-8', 'STRESS_1BP': '-0.0000999499849914958479139580'}",9,0.010005002501250625312656300,1,2026-01-02,33651143.00000000,20757434.00000000
0.00005003752814610958218663997998,2.10464600,21.22953150,35.72651280,84.57674015,584,1.000800640512409927942350000,0.9993,12636,1053,0.9992,12648,1419,5321.133414,"{'ZERO': '0.000100080064051240992794235', 'MAKER_A_0.2BP': '0.000060076860912741713140117', 'MAKER_B_0.5BP': '7.5056295223669561118E-8', 'STRESS_1BP': '-0.0000999199519599681344915949'}",10,0.010008006405124099279423500,1,2026-01-02,19283300.00000000,19436422.00000000
0.00005003252113874018111772652224,5.79369900,50.97671160,95.91544660,363.85688476,1855,1.000700490343240268187730000,0.9994,32776,2863,0.9993,62658,2938,2124.200977,"{'ZERO': '0.000100070049034324026818773', 'MAKER_A_0.2BP': '0.000060066846296417411989997', 'MAKER_B_0.5BP': '6.5042279758322701297E-8', 'STRESS_1BP': '-0.0000999299649740819973841703'}",1,0.010007004903432402681877300,1,2026-01-03,45705996.00000000,96938029.00000000
0.00005003752814610958218663997998,2.66223100,17.72436880,27.32754215,46.02043978,1084,1.000800640512409927942350000,0.9993,62658,2938,0.9992,3187,1084,91.75293,"{'ZERO': '0.000100080064051240992794235', 'MAKER_A_0.2BP': '0.000060076860912741713140117', 'MAKER_B_0.5BP': '7.5056295223669561118E-8', 'STRESS_1BP': '-0.0000999199519599681344915949'}",2,0.010008006405124099279423500,1,2026-01-03,96938029.00000000,3933231.00000000
0.00005002751513332332783030666867,3.82441000,49.27147300,78.92103180,235.6783296,1009,1.000600360216129677806680000,0.9995,10797,1203,0.9994,32776,2863,28677.978557,"{'ZERO': '0.000100060036021612967780668', 'MAKER_A_0.2BP': '0.000060056833684218851144290', 'MAKER_B_0.5BP': '5.5030268298472208669E-8', 'STRESS_1BP': '-0.0000999399759843907544406656'}",3,0.010006003602161296778066800,1,2026-01-03,18907987.00000000,45705996.00000000
0.00005002251012955830123555600020,9.59032800,57.37637260,97.39301510,11304.22771388,195,1.000500250125062531265630000,0.9996,1177,227,0.9995,10797,1203,35257.39657,"{'ZERO': '0.000100050025012506253126563', 'MAKER_A_0.2BP': '0.000060046823075544492111659', 'MAKER_B_0.5BP': '4.5020260242615683123E-8', 'STRESS_1BP': '-0.0000999499849914958479139580'}",4,0.010005002501250625312656300,1,2026-01-03,2900384.00000000,18907987.00000000
0.0001000700490343240268187731412,57.11823200,689.26626380,1259.60665120,1865.41830048,99,2.001601281024819855884710000,0.9994,32776,2863,0.9992,3187,1084,2089.876691,"{'ZERO': '0.000200160128102481985588471', 'MAKER_A_0.2BP': '0.000160152921841483106286633', 'MAKER_B_0.5BP': '0.000100145112840434839747204', 'STRESS_1BP': '1.40098079863751014810E-7'}",5,0.020016012810248198558847100,2,2026-01-03,45705996.00000000,3933231.00000000
0.0001000600360216129677806684010,52.91466500,290.62431500,6315.71905900,25797.22917740,41,2.001400980686480536375460000,0.9995,10797,1203,0.9993,62658,2938,28634.137559,"{'ZERO': '0.000200140098068648053637546', 'MAKER_A_0.2BP': '0.000160132892608834503986394', 'MAKER_B_0.5BP': '0.000100125084809504146027563', 'STRESS_1BP': '1.20072051636025229660E-7'}",6,0.020014009806864805363754600,2,2026-01-03,18907987.00000000,96938029.00000000
0.00005001750612714450057520132046,8.34806150,65.46668080,8479.27638400,33991.13449767,34,1.000400160064025610244100000,0.9997,58,34,0.9996,1177,227,38883.781917,"{'ZERO': '0.000100040016006402561024410', 'MAKER_A_0.2BP': '0.000060036814469793037112447', 'MAKER_B_0.5BP': '3.5012254989491421787E-8', 'STRESS_1BP': '-0.0000999599919959984793837543'}",7,0.010004001600640256102441000,1,2026-01-03,45675.00000000,2900384.00000000
0.0001000500250125062531265632816,82.46196000,24643.12864740,29938.11776420,34174.10905764,9,2.001200720432259355613370000,0.9996,1177,227,0.9994,32776,2863,35233.106881,"{'ZERO': '0.000200120072043225935561337', 'MAKER_A_0.2BP': '0.000160112867384437382294980', 'MAKER_B_0.5BP': '0.000100105060786584445042307', 'STRESS_1BP': '1.00050031018511116669E-7'}",8,0.020012007204322593556133700,2,2026-01-03,2900384.00000000,45705996.00000000
0.0001500825453999699834909200060,16421.60496900,31245.14279270,33072.97267835,34535.23658687,4,3.002101471029720804563190000,0.9996,1177,227,0.9993,62658,2938,34900.802564,"{'ZERO': '0.000300210147102972080456319', 'MAKER_A_0.2BP': '0.000260198938921251595982791', 'MAKER_B_0.5BP': '0.000200185127339249969353829', 'STRESS_1BP': '0.000100170109077354047843489'}",9,0.030021014710297208045631900,3,2026-01-03,2900384.00000000,96938029.00000000
0.0001500975634162205433531795667,21541.95421200,26261.10312640,26850.99674070,27322.91163214,3,3.002401921537229783827060000,0.9995,10797,1203,0.9992,3187,1084,27440.890355,"{'ZERO': '0.000300240192153722978382706', 'MAKER_A_0.2BP': '0.000260228982770224499433150', 'MAKER_B_0.5BP': '0.000200215169385646009933290', 'STRESS_1BP': '0.000100200148119695636521216'}",10,0.030024019215372297838270600,3,2026-01-03,18907987.00000000,3933231.00000000
0.00005004253615573237251663914327,3.85645500,45.69179460,79.15481320,190.21864476,977,1.000900810729656691021920000,0.9992,8776,1342,0.9991,25068,1858,10623.828009,"{'ZERO': '0.000100090081072965669102192', 'MAKER_A_0.2BP': '0.000060086877533793533918132', 'MAKER_B_0.5BP': '8.5072315296256005937E-8', 'STRESS_1BP': '-0.0000999099369414474827164466'}",1,0.010009008107296566910219200,1,2026-01-04,14058599.00000000,38397397.00000000
0.00005004754516790951403833641960,2.72126200,28.53747300,48.14766700,105.54121140,881,1.001001001001001001001000000,0.9991,25068,1858,0.999,13803,992,1376.044812,"{'ZERO': '0.000100100100100100100100100', 'MAKER_A_0.2BP': '0.000060096896160174894600206', 'MAKER_B_0.5BP': '9.5090340578066191786E-8', 'STRESS_1BP': '-0.0000998999199179181180981001'}",2,0.010010010010010010010010000,1,2026-01-04,38397397.00000000,18402414.00000000
0.00005003252113874018111772652224,2.85397800,28.40825180,50.87079420,188.25468704,717,1.000700490343240268187730000,0.9994,26238,1356,0.9993,15572,1083,5100.024825,"{'ZERO': '0.000100070049034324026818773', 'MAKER_A_0.2BP': '0.000060066846296417411989997', 'MAKER_B_0.5BP': '6.5042279758322701297E-8', 'STRESS_1BP': '-0.0000999299649740819973841703'}",3,0.010007004903432402681877300,1,2026-01-04,38638355.00000000,19943060.00000000
0.00005002751513332332783030666867,3.68605850,48.75617610,86.41584155,320.17215600,638,1.000600360216129677806680000,0.9995,15485,1149,0.9994,26238,1356,3156.535542,"{'ZERO': '0.000100060036021612967780668', 'MAKER_A_0.2BP': '0.000060056833684218851144290', 'MAKER_B_0.5BP': '5.5030268298472208669E-8', 'STRESS_1BP': '-0.0000999399759843907544406656'}",4,0.010006003602161296778066800,1,2026-01-04,20439145.00000000,38638355.00000000
0.00005002251012955830123555600020,4.75026800,44.54393880,63.96900835,144.50470562,510,1.000500250125062531265630000,0.9996,5746,648,0.9995,15485,1149,6355.647597,"{'ZERO': '0.000100050025012506253126563', 'MAKER_A_0.2BP': '0.000060046823075544492111659', 'MAKER_B_0.5BP': '4.5020260242615683123E-8', 'STRESS_1BP': '-0.0000999499849914958479139580'}",5,0.010005002501250625312656300,1,2026-01-04,10772991.00000000,20439145.00000000
0.00005003752814610958218663997998,2.22556100,23.27087220,45.19047560,858.39411788,365,1.000800640512409927942350000,0.9993,15572,1083,0.9992,8776,1342,27484.06794,"{'ZERO': '0.000100080064051240992794235', 'MAKER_A_0.2BP': '0.000060076860912741713140117', 'MAKER_B_0.5BP': '7.5056295223669561118E-8', 'STRESS_1BP': '-0.0000999199519599681344915949'}",6,0.010008006405124099279423500,1,2026-01-04,19943060.00000000,14058599.00000000
0.00005000750112516877531629744462,1.83540400,15.39297000,27.32509425,65.24752525,236,1.000200040008001600320060000,0.9999,4416,409,0.9998,3890,369,214.836658,"{'ZERO': '0.000100020004000800160032006', 'MAKER_A_0.2BP': '0.000060016803264654850931787', 'MAKER_B_0.5BP': '1.5002250487595644223E-8', 'STRESS_1BP': '-0.0000999799999995999599879980'}",7,0.010002000400080016003200600,1,2026-01-04,5598702.00000000,6104027.00000000
0.00005000250012500625031251562578,0.61646700,15.92925840,25.52388760,209.31876736,173,1.000100010001000100010000000,1,3553,261,0.9999,4416,409,1642.298723,"{'ZERO': '0.000100010001000100010001000', 'MAKER_A_0.2BP': '0.000060006800664066726666267', 'MAKER_B_0.5BP': '5.000250037503125344E-9', 'STRESS_1BP': '-0.0000999900009999000099990001'}",8,0.010001000100010001000100000,1,2026-01-04,7557757.00000000,5598702.00000000
0.00005001750612714450057520132046,0.93825200,35.65149100,63.14756820,3176.35810820,137,1.000400160064025610244100000,0.9997,1188,270,0.9996,5746,648,10947.46758,"{'ZERO': '0.000100040016006402561024410', 'MAKER_A_0.2BP': '0.000060036814469793037112447', 'MAKER_B_0.5BP': '3.5012254989491421787E-8', 'STRESS_1BP': '-0.0000999599919959984793837543'}",9,0.010004001600640256102441000,1,2026-01-04,1484987.00000000,10772991.00000000
0.00005001250312578144536134033508,0.31717700,5.06884860,8.49552100,18.85149024,133,1.000300090027008102430730000,0.9998,3890,369,0.9997,1188,270,337.912487,"{'ZERO': '0.000100030009002700810243073', 'MAKER_A_0.2BP': '0.000060026807866363428958289', 'MAKER_B_0.5BP': '2.5006251938078298646E-8', 'STRESS_1BP': '-0.0000999699969984996098769637'}",10,0.010003000900270081024307300,1,2026-01-04,6104027.00000000,1484987.00000000
0.00005003252113874018111772652224,1.27428850,13.97095340,26.83657665,81.59781325,2022,1.000700490343240268187730000,0.9994,18452,2646,0.9993,33095,3033,17172.338697,"{'ZERO': '0.000100070049034324026818773', 'MAKER_A_0.2BP': '0.000060066846296417411989997', 'MAKER_B_0.5BP': '6.5042279758322701297E-8', 'STRESS_1BP': '-0.0000999299649740819973841703'}",1,0.010007004903432402681877300,1,2026-01-05,23984586.00000000,50813475.00000000
0.00004999750012499375031248437578,1.16616700,13.91766220,23.83631065,73.18561116,1538,1.0000,1.0001,15861,1977,1,33598,2751,46589.490274,"{'ZERO': '0.0001', 'MAKER_A_0.2BP': '0.000059996800063998720025599', 'MAKER_B_0.5BP': '-4.9997500124993750312E-9', 'STRESS_1BP': '-0.0001'}",2,0.0100,1,2026-01-05,30230263.00000000,49550208.00000000
0.00005000250012500625031251562578,0.81365500,11.60938620,23.37715220,73.50332924,1213,1.000100010001000100010000000,1,33598,2751,0.9999,24032,1592,44742.957408,"{'ZERO': '0.000100010001000100010001000', 'MAKER_A_0.2BP': '0.000060006800664066726666267', 'MAKER_B_0.5BP': '5.000250037503125344E-9', 'STRESS_1BP': '-0.0000999900009999000099990001'}",3,0.010001000100010001000100000,1,2026-01-05,49550208.00000000,33659530.00000000
0.00005003752814610958218663997998,1.14743700,20.41219700,38.38645700,122.49382540,1011,1.000800640512409927942350000,0.9993,33095,3033,0.9992,21305,1527,9441.291757,"{'ZERO': '0.000100080064051240992794235', 'MAKER_A_0.2BP': '0.000060076860912741713140117', 'MAKER_B_0.5BP': '7.5056295223669561118E-8', 'STRESS_1BP': '-0.0000999199519599681344915949'}",4,0.010008006405124099279423500,1,2026-01-05,50813475.00000000,30963986.00000000
