config,cycles,marked_return,open_position
"{""distances"": [3], ""lookback_minutes"": 30, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 240, ""score"": ""FREQUENCY""}",15,0.001094521,True
"{""distances"": [3], ""lookback_minutes"": 30, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 240, ""score"": ""FREQUENCY_MARGIN""}",15,0.001094521,True
"{""distances"": [1, 2, 3], ""lookback_minutes"": 30, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 240, ""score"": ""FREQUENCY""}",6551,0.920016723,True
"{""distances"": [1, 2, 3], ""lookback_minutes"": 30, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 240, ""score"": ""FREQUENCY_MARGIN""}",6471,0.906422587,True
"{""distances"": [1], ""lookback_minutes"": 30, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 360, ""score"": ""FREQUENCY""}",10206,1.773351573,True
"{""distances"": [1], ""lookback_minutes"": 30, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 360, ""score"": ""FREQUENCY_MARGIN""}",10206,1.773351573,True
"{""distances"": [2], ""lookback_minutes"": 30, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 360, ""score"": ""FREQUENCY""}",319,0.06275171,True
"{""distances"": [2], ""lookback_minutes"": 30, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 360, ""score"": ""FREQUENCY_MARGIN""}",319,0.06275171,True
"{""distances"": [3], ""lookback_minutes"": 30, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 360, ""score"": ""FREQUENCY""}",23,0.006920439,False
"{""distances"": [3], ""lookback_minutes"": 30, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 360, ""score"": ""FREQUENCY_MARGIN""}",23,0.006920439,False
"{""distances"": [1, 2, 3], ""lookback_minutes"": 30, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 360, ""score"": ""FREQUENCY""}",8968,1.453779347,True
"{""distances"": [1, 2, 3], ""lookback_minutes"": 30, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 360, ""score"": ""FREQUENCY_MARGIN""}",8891,1.437890689,True
"{""distances"": [1], ""lookback_minutes"": 60, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 15, ""score"": ""FREQUENCY""}",6424,0.89131241,True
"{""distances"": [1], ""lookback_minutes"": 60, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 15, ""score"": ""FREQUENCY_MARGIN""}",6424,0.89131241,True
"{""distances"": [2], ""lookback_minutes"": 60, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 15, ""score"": ""FREQUENCY""}",190,0.033039344,True
"{""distances"": [2], ""lookback_minutes"": 60, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 15, ""score"": ""FREQUENCY_MARGIN""}",190,0.033039344,True
"{""distances"": [3], ""lookback_minutes"": 60, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 15, ""score"": ""FREQUENCY""}",82,0.023658102,True
